latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type,day
33.2412,75.5901,315.1,1.5,1.2,05-04-2022,520,Terra,MODIS,40,6.03,297.9,14.8,D,0,95
24.8038,94.2638,325.8,1.1,1,06-04-2022,426,Terra,MODIS,79,6.03,297.4,19.9,D,0,96
28.971,79.5609,318.3,1.2,1.1,07-04-2022,508,Terra,MODIS,35,6.03,306.3,8.3,D,0,97
25.1883,94.4811,320.4,1,1,08-04-2022,414,Terra,MODIS,77,6.03,299,12.7,D,0,98
28.5462,80.4473,320.6,1.6,1.2,09-04-2022,456,Terra,MODIS,66,6.03,305.1,12.5,D,0,99
34.1861,74.1796,313.4,1.1,1,10-04-2022,538,Terra,MODIS,36,6.03,296.1,7,D,0,100
27.1606,83.3748,325.9,1.6,1.2,11-04-2022,444,Terra,MODIS,75,6.03,302.1,22.3,D,0,101
31.0327,77.6329,306.1,1,1,12-04-2022,526,Terra,MODIS,42,6.03,288.1,5.5,D,0,102
27.2435,82.7616,319.2,2.8,1.6,13-04-2022,432,Terra,MODIS,48,6.03,296.6,25.2,D,0,103
31.1911,77.2134,313.9,1.4,1.2,14-04-2022,514,Terra,MODIS,39,6.03,299.8,9.8,D,0,104
27.7219,92.4539,301.9,1.1,1,15-04-2022,419,Terra,MODIS,0,6.03,284.6,4.7,D,0,105
30.2763,79.216,316.5,1.6,1.2,16-04-2022,502,Terra,MODIS,51,6.03,301.5,13.4,D,0,106
26.312,93.6142,311.9,1.3,1.1,17-04-2022,407,Terra,MODIS,61,6.03,296.8,8.4,D,0,107
30.332,78.9424,327.9,2.7,1.6,18-04-2022,449,Terra,MODIS,80,6.03,303,77.3,D,0,108
30.4415,78.6146,314,1.1,1,19-04-2022,532,Terra,MODIS,32,6.03,302,4.3,D,0,109
25.2002,83.9738,329,1.7,1.3,20-04-2022,438,Terra,MODIS,63,6.03,312.7,12.5,D,0,110
30.3071,78.3014,319.6,1,1,21-04-2022,520,Terra,MODIS,62,6.03,302.4,9.4,D,0,111
27.3845,83.4275,319.2,3.3,1.7,22-04-2022,425,Terra,MODIS,45,6.03,294,36.2,D,0,112
32.5309,75.0447,324,2.5,1.5,23-04-2022,507,Terra,MODIS,74,6.03,304.1,34.8,D,0,113
25.3966,92.9634,342.4,1.2,1.1,24-04-2022,413,Terra,MODIS,91,6.03,301.8,49.9,D,0,114
30.7449,78.3754,316.1,2.3,1.5,25-04-2022,455,Terra,MODIS,61,6.03,298.5,27.5,D,0,115
25.181,94.4791,311.2,1.4,1.2,26-04-2022,401,Terra,MODIS,32,6.03,298.2,6.5,D,0,116
29.25,79.9225,313,2.9,1.6,27-04-2022,443,Terra,MODIS,30,6.03,300.6,21.2,D,0,117
32.5636,74.7182,331.7,1.3,1.2,28-04-2022,525,Terra,MODIS,76,6.03,312.8,18.9,D,0,118
26.1395,94.8733,312.4,1.3,1.1,29-04-2022,431,Terra,MODIS,63,6.03,300.6,12.4,D,0,119
31.5026,77.6535,324,1.3,1.1,30-04-2022,513,Terra,MODIS,31,6.03,301.3,20.1,D,0,120
26.5033,83.478,317.6,4.1,1.9,01-05-2022,419,Terra,MODIS,66,6.03,296,46.2,D,0,121
32.9733,74.3623,319.5,3.6,1.8,02-05-2022,501,Terra,MODIS,69,6.03,299.5,48.4,D,0,122
31.8003,75.0577,321.5,1,1,03-05-2022,544,Terra,MODIS,62,6.03,299,6.9,D,0,123
28.07,81.3066,323.1,1.7,1.3,04-05-2022,449,Terra,MODIS,69,6.03,299.4,22.6,D,0,124
32.63,74.7313,327.9,1.1,1.1,05-05-2022,531,Terra,MODIS,74,6.03,308.1,11.1,D,2,125
26.548,93.5546,311,1.3,1.1,06-05-2022,437,Terra,MODIS,52,6.03,295.9,6.8,D,0,126
27.8067,95.5378,316.9,2.7,1.6,07-05-2022,342,Terra,MODIS,54,6.03,298.9,30.8,D,0,127
27.7485,94.366,317.8,1,1,08-05-2022,424,Terra,MODIS,72,6.03,296,10.4,D,0,128
31.7841,75.498,321.4,2.3,1.5,09-05-2022,507,Terra,MODIS,66,6.03,299.3,24,D,0,129
30.9368,76.1013,329,1.3,1.1,10-05-2022,550,Terra,MODIS,75,6.03,305.5,12.6,D,0,130
27.8923,81.5468,326.6,1.3,1.1,11-05-2022,455,Terra,MODIS,72,6.03,300.7,10.7,D,0,131
32.634,74.6627,336.4,1,1,12-05-2022,537,Terra,MODIS,80,6.03,313.5,17,D,0,132
22.792,86.2025,325,1,1,13-05-2022,444,Terra,MODIS,34,6.03,305.7,8.6,D,2,133
30.4072,75.3402,333.6,1.2,1.1,14-05-2022,525,Terra,MODIS,65,6.03,318.2,10.7,D,0,134
27.4209,81.4237,322,3.5,1.8,15-05-2022,431,Terra,MODIS,51,6.03,302.8,49.6,D,0,135
33.2292,74.0294,324.6,2.4,1.5,16-05-2022,512,Terra,MODIS,71,6.03,305.8,32,D,0,136
20.9646,85.1752,321.4,2.6,1.6,17-05-2022,420,Terra,MODIS,61,6.03,297.4,28.7,D,2,137
27.4157,81.4084,332.4,1.1,1.1,18-05-2022,501,Terra,MODIS,70,6.03,307.1,14.4,D,0,138
32.6198,75.4295,325.4,1,1,19-05-2022,543,Terra,MODIS,67,6.03,308.7,7.5,D,0,139
26.3435,79.1149,328.2,2.3,1.5,20-05-2022,449,Terra,MODIS,29,6.03,300.2,39.6,D,0,140
33.1293,74.251,325.6,1.2,1.1,21-05-2022,531,Terra,MODIS,59,6.03,308,8.2,D,0,141
26.7126,93.0957,312.5,1.3,1.1,22-05-2022,436,Terra,MODIS,59,6.03,292.6,6.1,D,0,142
32.1878,75.6006,322.1,1.5,1.2,23-05-2022,518,Terra,MODIS,75,6.03,301.8,14.2,D,0,143
18.7598,83.8088,321.6,1.4,1.2,24-05-2022,735,Aqua,MODIS,56,6.03,302.9,12.4,D,0,144
27.08,81.7673,326,1,1,25-05-2022,507,Terra,MODIS,69,6.03,305.3,9.3,D,0,145
23.6759,69.2428,330.5,1,1,26-05-2022,551,Terra,MODIS,51,6.03,307.9,10.1,D,0,146
26.5312,83.5833,334.3,1.1,1,27-05-2022,455,Terra,MODIS,75,6.03,310.2,11.4,D,0,147
32.228,75.3765,327.3,1,1,28-05-2022,537,Terra,MODIS,68,6.03,304.9,7.9,D,0,148
28.5515,95.2132,324.4,2,1.4,29-05-2022,442,Terra,MODIS,83,6.03,290.2,52.6,D,0,149
31.9192,74.7106,321.3,1.3,1.1,30-05-2022,524,Terra,MODIS,24,6.03,286.7,13.8,D,0,150
27.8044,95.5343,322,1.3,1.1,31-05-2022,429,Terra,MODIS,44,6.03,301.4,14.6,D,0,151
29.5743,79.3995,319.8,1.1,1,01-06-2022,512,Terra,MODIS,32,6.03,305.7,5,D,0,152
31.551,76.4489,326.7,1.6,1.3,02-06-2022,555,Terra,MODIS,73,6.03,310.6,23,D,0,153
27.1071,82.6027,330.3,1,1,03-06-2022,501,Terra,MODIS,73,6.03,302,10.1,D,0,154
31.5395,76.4957,329.6,1.1,1.1,04-06-2022,542,Terra,MODIS,78,6.03,312.2,14.5,D,0,155
27.8076,95.5381,311.6,2.7,1.6,05-06-2022,448,Terra,MODIS,16,6.03,287.6,26.4,D,0,156
33.2593,74.0783,331.9,1.2,1.1,06-06-2022,530,Terra,MODIS,55,6.03,315,15.4,D,0,157
30.3384,80.0923,320.9,3.8,1.8,07-06-2022,435,Terra,MODIS,64,6.03,294.9,96.8,D,0,158
30.1484,78.6743,324.1,1,1,08-06-2022,518,Terra,MODIS,65,6.03,306,8.6,D,0,159
33.3322,74.1176,326.5,1.4,1.2,09-06-2022,600,Terra,MODIS,66,6.03,308,14.7,D,0,160
33.1723,74.7794,321.8,2.7,1.6,10-06-2022,505,Terra,MODIS,58,6.03,303.4,34.2,D,0,161
33.518,74.1617,323.7,1,1,11-06-2022,548,Terra,MODIS,39,6.03,305.9,8.3,D,0,162
23.7757,86.208,325.2,1.1,1,12-06-2022,455,Terra,MODIS,65,6.03,306.2,11.5,D,2,163
31.1981,75.2394,332.2,1,1,13-06-2022,536,Terra,MODIS,66,6.03,307.6,13.7,D,0,164
25.5909,86.5847,321.3,1,1,14-06-2022,442,Terra,MODIS,59,6.03,291.1,10.3,D,0,165
33.5157,75.8724,396.5,1.2,1.1,15-06-2022,523,Terra,MODIS,100,6.03,307.2,299.9,D,0,166
20.2849,86.6718,316.5,1.2,1.1,16-06-2022,431,Terra,MODIS,21,6.03,290.1,8.6,D,0,167
20.0064,85.7093,309,2.2,1.4,17-06-2022,514,Terra,MODIS,57,6.03,275.9,13.3,D,0,168
20.2778,86.6622,322.4,1.3,1.1,18-06-2022,725,Aqua,MODIS,62,6.03,295.6,15,D,2,169
21.0782,85.0371,316.5,1.2,1.1,19-06-2022,502,Terra,MODIS,66,6.03,295.1,7.8,D,2,170
23.5756,69.5644,327.8,1.1,1.1,20-06-2022,544,Terra,MODIS,57,6.03,299.7,13.4,D,0,171
20.9628,85.1832,318.7,1,1,21-06-2022,449,Terra,MODIS,65,6.03,295.7,7.8,D,2,172
28.4507,80.4175,324.7,1.4,1.2,22-06-2022,530,Terra,MODIS,0,6.03,304.2,18.5,D,0,173
23.7784,86.3904,322,1.2,1.1,23-06-2022,436,Terra,MODIS,55,6.03,294.8,10.8,D,2,174
28.8469,79.4432,330.8,1,1,24-06-2022,518,Terra,MODIS,77,6.03,306.2,12.8,D,0,175
20.9593,85.1734,315.3,1.3,1.1,25-06-2022,730,Aqua,MODIS,18,6.03,288.3,10.4,D,2,176
29.4508,75.5604,320.2,2.2,1.4,26-06-2022,506,Terra,MODIS,47,6.03,301.1,15.9,D,0,177
20.9654,85.1712,312.2,3.4,1.7,27-06-2022,412,Terra,MODIS,50,6.03,287.1,32.4,D,2,178
21.7541,84.0256,317.9,1,1,28-06-2022,455,Terra,MODIS,68,6.03,290.6,6.9,D,2,179
31.0989,75.3409,319.4,1,1,29-06-2022,536,Terra,MODIS,50,6.03,298.5,5.6,D,0,180
23.7922,86.3553,310.7,1,1,30-06-2022,442,Terra,MODIS,15,6.03,277.9,5,D,2,181
23.7302,85.0249,311.7,2.8,1.6,01-07-2022,525,Terra,MODIS,36,6.03,283.3,23.6,D,0,182
29.1862,74.9178,313.7,2.3,1.5,02-07-2022,607,Terra,MODIS,16,6.03,290.5,22.1,D,0,183
28.14,81.1208,317.5,1,1,03-07-2022,512,Terra,MODIS,54,6.03,293.9,9.2,D,0,184
28.17,94.7983,318.9,1,1,04-07-2022,416,Terra,MODIS,41,6.03,297.6,8.2,D,0,185
23.7629,86.3999,319.3,1.3,1.1,05-07-2022,500,Terra,MODIS,36,6.03,296.1,10.9,D,2,186
27.2128,71.3583,331.6,1.1,1,06-07-2022,543,Terra,MODIS,40,6.03,304.6,14.3,D,0,187
27.9832,94.2248,311.9,2.2,1.4,07-07-2022,447,Terra,MODIS,62,6.03,293.8,16.7,D,0,188
31.6667,75.6343,318.9,1,1,08-07-2022,529,Terra,MODIS,69,6.03,297.2,6.6,D,0,189
27.9828,94.2187,314.2,1.4,1.2,09-07-2022,434,Terra,MODIS,67,6.03,297.6,10.2,D,0,190
23.8044,86.3288,315.1,2.7,1.6,10-07-2022,519,Terra,MODIS,45,6.03,292.2,32.9,D,2,191
28.0432,78.7207,316.9,3.6,1.8,11-07-2022,600,Terra,MODIS,20,6.03,293.2,47,D,0,192
13.4683,79.044,308.1,1,1,12-07-2022,509,Terra,MODIS,51,6.03,286.1,3.7,D,0,193
27.6289,79.1961,323.9,2.4,1.5,13-07-2022,548,Terra,MODIS,57,6.03,297.1,37.6,D,0,194
27.8103,95.5309,315.9,3.5,1.8,14-07-2022,452,Terra,MODIS,0,6.03,296.4,38.7,D,0,195
28.4553,80.363,316.4,1.7,1.3,15-07-2022,536,Terra,MODIS,36,6.03,297,15.2,D,0,196
28.1665,95.8188,308.4,2.2,1.4,16-07-2022,440,Terra,MODIS,44,6.03,289.7,16.2,D,0,197
28.0291,96.0624,314.6,1.9,1.4,17-07-2022,345,Terra,MODIS,47,6.03,290.6,15.1,D,0,198
23.6763,86.0878,318.5,1.5,1.2,18-07-2022,429,Terra,MODIS,61,6.03,295.8,13.5,D,2,199
27.6441,79.2645,326.7,1,1,19-07-2022,511,Terra,MODIS,67,6.03,299.4,12.8,D,0,200
23.7719,86.1987,316.3,1.6,1.2,20-07-2022,720,Aqua,MODIS,53,6.03,289.3,11.8,D,2,201
15.5347,79.9777,327.1,1,1,21-07-2022,502,Terra,MODIS,74,6.03,296.5,12.8,D,0,202
9.565,78.3152,316.5,1.6,1.2,23-07-2022,452,Terra,MODIS,63,6.03,293.3,11.3,D,0,204
30.3584,77.8492,315.1,1,1,24-07-2022,529,Terra,MODIS,57,6.03,293,5.8,D,2,205
29.7102,73.9576,317.1,2.5,1.5,25-07-2022,612,Terra,MODIS,50,6.03,291.4,24.3,D,0,206
29.8729,75.6719,318.1,1.4,1.2,26-07-2022,517,Terra,MODIS,64,6.03,293.3,11.9,D,0,207
20.9581,85.1832,317.5,2,1.4,27-07-2022,423,Terra,MODIS,55,6.03,294.7,20,D,2,208
23.7971,86.3499,322,1.6,1.2,28-07-2022,505,Terra,MODIS,54,6.03,295.1,18,D,2,209
20.4014,85.5165,314.4,3,1.6,29-07-2022,711,Aqua,MODIS,49,6.03,292.7,33.4,D,0,210
20.7915,85.2577,316.2,1.1,1,30-07-2022,454,Terra,MODIS,42,6.03,293.9,6.8,D,2,211
22.7609,77.6636,314.2,1.4,1.2,31-07-2022,537,Terra,MODIS,56,6.03,291.4,9.6,D,0,212
20.9601,85.1711,312.7,1.1,1,01-08-2022,442,Terra,MODIS,53,6.03,282,6.7,D,2,213
14.5675,79.7543,316.3,1.7,1.3,02-08-2022,526,Terra,MODIS,30,6.03,292.9,13.7,D,0,214
23.1128,72.0243,315.1,2,1.4,03-08-2022,607,Terra,MODIS,32,6.03,291.8,18.9,D,0,215
20.4175,85.0488,308.5,1.9,1.4,04-08-2022,512,Terra,MODIS,33,6.03,282.2,10,D,0,216
20.9629,85.1811,313.7,2.7,1.6,05-08-2022,417,Terra,MODIS,60,6.03,290.6,20.3,D,2,217
23.6932,87.1183,314.2,1.4,1.2,06-08-2022,459,Terra,MODIS,60,6.03,288.3,9.1,D,2,218
29.5916,73.4363,320.7,1,1,07-08-2022,541,Terra,MODIS,50,6.03,293.8,8.5,D,0,219
29.3157,73.8638,313.6,4.1,1.9,08-08-2022,624,Terra,MODIS,32,6.03,287.6,49.1,D,0,220
30.2655,75.239,313.2,1,1,09-08-2022,528,Terra,MODIS,21,6.03,289.4,5.7,D,2,221
30.1058,73.8458,319.8,2.4,1.5,10-08-2022,611,Terra,MODIS,39,6.03,297,27.2,D,0,222
17.1915,78.3596,313.1,1.1,1,11-08-2022,520,Terra,MODIS,57,6.03,292.3,7.4,D,0,223
26.5697,92.835,319.4,1,1,12-08-2022,421,Terra,MODIS,0,6.03,296.7,8.9,D,0,224
23.6813,86.0914,315.9,1.6,1.2,13-08-2022,505,Terra,MODIS,32,6.03,290.2,12.5,D,2,225
30.4168,73.9282,321.9,1.8,1.3,14-08-2022,848,Aqua,MODIS,41,6.03,295.3,22.5,D,0,226
8.8735,77.9038,330.4,1.3,1.1,15-08-2022,457,Terra,MODIS,80,6.03,303.3,13.3,D,0,227
25.7871,84.3585,317.3,3.7,1.8,16-08-2022,535,Terra,MODIS,11,6.03,292.8,43.9,D,0,228
27.804,95.5493,318.9,2.2,1.4,17-08-2022,439,Terra,MODIS,0,6.03,294.6,26.5,D,0,229
11.1054,77.9798,314.7,1.5,1.2,18-08-2022,527,Terra,MODIS,34,6.03,294,8.2,D,0,230
26.5257,92.3684,315.3,1,1,19-08-2022,427,Terra,MODIS,0,6.03,296.7,6,D,0,231
26.548,92.7781,313.1,3.8,1.8,20-08-2022,630,Aqua,MODIS,38,6.03,289.8,37.6,D,0,232
26.8468,94.0176,317.8,1,1,21-08-2022,415,Terra,MODIS,0,6.03,298.3,7,D,0,233
21.8039,84.0385,315.7,1.1,1,22-08-2022,459,Terra,MODIS,63,6.03,295.6,7,D,2,234
29.7626,76.5616,314.2,1.2,1.1,23-08-2022,540,Terra,MODIS,47,6.03,297.7,7.4,D,2,235
27.9868,94.2246,309.9,2.2,1.4,24-08-2022,445,Terra,MODIS,61,6.03,294.4,14.8,D,0,236
29.0453,79.6849,315.8,1.2,1.1,25-08-2022,528,Terra,MODIS,44,6.03,296.9,8.7,D,0,237
26.1558,90.4255,318.4,1,1,26-08-2022,433,Terra,MODIS,67,6.03,296.4,7.9,D,0,238
